filename	read_id	run_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_137_ch_366_strand.fast5	0cbda042-b30a-42ca-94d9-4869a954cdd6	c755b15f8f55d8df50b420a6932c41e787fb781f	366	2	24.188250	1.753000	3506	FALSE	24.296249	3290	1.645000	97	3.527684	0.000000	111.916359	7.131925
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_126_ch_234_strand.fast5	bea3e1f5-0142-4811-adc4-3f08d81cf3e0	c755b15f8f55d8df50b420a6932c41e787fb781f	234	2	26.544750	2.316250	4632	FALSE	26.545250	4631	2.315750	276	3.282841	0.000000	100.395554	2.925918
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_120_ch_474_strand.fast5	9a05e00f-0620-4c2f-a328-1bdee0362ada	c755b15f8f55d8df50b420a6932c41e787fb781f	474	4	61.858501	1.042250	2084	FALSE	62.130001	1541	0.770750	49	4.382954	0.000000	98.932594	1.097219
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_147_ch_313_strand.fast5	e13c575c-7b40-46a1-8552-26fd48a1009c	c755b15f8f55d8df50b420a6932c41e787fb781f	313	2	27.903500	8.067500	16135	FALSE	27.903500	16135	8.067500	857	4.435658	0.000000	113.927925	6.034706
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_218_ch_209_strand.fast5	b6bf364d-c6a9-4c90-b941-d3fc345899ac	c755b15f8f55d8df50b420a6932c41e787fb781f	209	3	49.762001	1.140250	2280	FALSE	49.764999	2274	1.137250	61	4.355341	0.000000	99.664078	1.097219
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_11_ch_252_strand.fast5	87492ad1-3496-4a32-a550-880b0bee0751	c755b15f8f55d8df50b420a6932c41e787fb781f	252	1	10.150500	7.710000	15420	FALSE	10.471000	14779	7.389500	2044	3.467808	0.000000	51.935043	5.668966
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_129_ch_258_strand.fast5	9f4a9f8e-3b98-4102-af4f-b18eca6927fd	c755b15f8f55d8df50b420a6932c41e787fb781f	258	3	44.526249	1.277000	2554	FALSE	44.560249	2486	1.243000	372	5.151997	0.000000	138.066742	9.143494
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_177_ch_502_strand.fast5	6f7f0914-0070-4594-967f-0d90fe724711	c755b15f8f55d8df50b420a6932c41e787fb781f	502	3	44.649750	1.826250	3652	FALSE	44.733250	3485	1.742750	91	4.347063	0.000000	143.187103	1.645829
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_135_ch_422_strand.fast5	e2e86169-28d8-426a-bc10-1b04170161af	c755b15f8f55d8df50b420a6932c41e787fb781f	422	3	46.409000	7.667250	15334	FALSE	46.409000	15334	7.667250	431	3.539932	0.000000	124.717247	12.069411
GXB01103_20180501_FAH86018_GA30000_mux_scan_CHM13_1_36685_read_167_ch_216_strand.fast5	fea5c4e2-2964-4a82-9f25-ea43db9dd8b3	c755b15f8f55d8df50b420a6932c41e787fb781f	216	2	30.316250	1.182000	2364	FALSE	30.340250	2316	1.158000	147	4.077395	0.000000	101.858513	1.645829
